i, t, s
0, 0.000000, 0.000000
1, 0.000023, 2.265801
2, 0.000045, 9.045195
3, 0.000068, 20.284572
4, 0.000091, 35.895145
5, 0.000113, 55.753468
6, 0.000136, 79.702176
7, 0.000159, 107.550909
8, 0.000181, 139.077443
9, 0.000204, 174.029007
10, 0.000227, 212.123786
11, 0.000249, 253.052593
12, 0.000272, 296.480715
13, 0.000295, 342.049914
14, 0.000317, 389.380565
15, 0.000340, 438.073948
16, 0.000363, 487.714642
17, 0.000385, 537.873043
18, 0.000408, 588.107973
19, 0.000431, 637.969374
20, 0.000454, 687.001068
21, 0.000476, 734.743574
22, 0.000499, 780.736963
23, 0.000522, 824.523731
24, 0.000544, 865.651690
25, 0.000567, 903.676842
26, 0.000590, 938.166232
27, 0.000612, 968.700766
28, 0.000635, 994.877970
29, 0.000658, 1016.314682
30, 0.000680, 1032.649655
31, 0.000703, 1043.546071
32, 0.000726, 1048.693926
33, 0.000748, 1047.812306
34, 0.000771, 1040.651506
35, 0.000794, 1026.995013
36, 0.000816, 1006.661309
37, 0.000839, 979.505513
38, 0.000862, 945.420830
39, 0.000884, 904.339808
40, 0.000907, 856.235393
41, 0.000930, 801.121775
42, 0.000952, 739.055017
43, 0.000975, 670.133465
44, 0.000998, 594.497931
45, 0.001020, 512.331648
46, 0.001043, 423.859997
47, 0.001066, 329.350006
48, 0.001088, 229.109609
49, 0.001111, 123.486689
50, 0.001134, 12.867889
51, 0.001156, -102.322798
52, 0.001179, -221.625656
53, 0.001202, -344.547079
54, 0.001224, -470.561611
55, 0.001247, -599.114179
56, 0.001270, -729.622513
57, 0.001293, -861.479735
58, 0.001315, -994.057115
59, 0.001338, -1126.706982
60, 0.001361, -1258.765763
61, 0.001383, -1389.557153
62, 0.001406, -1518.395391
63, 0.001429, -1644.588634
64, 0.001451, -1767.442402
65, 0.001474, -1886.263089
66, 0.001497, -2000.361521
67, 0.001519, -2109.056532
68, 0.001542, -2211.678562
69, 0.001565, -2307.573239
70, 0.001587, -2396.104936
71, 0.001610, -2476.660287
72, 0.001633, -2548.651642
73, 0.001655, -2611.520439
74, 0.001678, -2664.740483
75, 0.001701, -2707.821113
76, 0.001723, -2740.310229
